"DR2TFIBE.Code.or.Value","DR2TFIBE.Value.Description","DR2TFIBE.Count","DR2TFIBE.Cumulative","DR2TFIBE.Skip.to.Item"
"0 to 131.9","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
