"MCQ260CC.Code.or.Value","MCQ260CC.Value.Description","MCQ260CC.Count","MCQ260CC.Cumulative","MCQ260CC.Skip.to.Item"
"3","Mother's mother",67,67,"MCQ250D"
".","Missing",9426,9493,""
