"AUXLR149.Code.or.Value","AUXLR149.Value.Description","AUXLR149.Count","AUXLR149.Cumulative","AUXLR149.Skip.to.Item"
"-12 to 128","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
