"LBDF04LC.Code.or.Value","LBDF04LC.Value.Description","LBDF04LC.Count","LBDF04LC.Cumulative","LBDF04LC.Skip.to.Item"
"0","At or above the detection limit",242,242,NA
"1","Below lower detection limit",4,246,NA
".","Missing",1,247,NA
