"OHX31LAA.Code.or.Value","OHX31LAA.Value.Description","OHX31LAA.Count","OHX31LAA.Cumulative","OHX31LAA.Skip.to.Item"
"0 to 11","Range of Values",2559,2559,NA
"99","Cannot be assessed",1527,4086,NA
".","Missing",951,5037,NA
