"DR1ITHEO.Code.or.Value","DR1ITHEO.Value.Description","DR1ITHEO.Count","DR1ITHEO.Cumulative","DR1ITHEO.Skip.to.Item"
"0 to 766","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
