"OHD04LAS.Code.or.Value","OHD04LAS.Value.Description","OHD04LAS.Count","OHD04LAS.Cumulative","OHD04LAS.Skip.to.Item"
"0 to 7","Range of Values",1411,1411,NA
"99","Calculation cannot be determined",383,1794,NA
".","Missing",4964,6758,NA
