"OPDURPE.Code.or.Value","OPDURPE.Value.Description","OPDURPE.Count","OPDURPE.Cumulative","OPDURPE.Skip.to.Item"
"0","No",2336,2336,NA
"1","Yes",75,2411,NA
".","Missing",523,2934,NA
