"LBX172.Code.or.Value","LBX172.Value.Description","LBX172.Count","LBX172.Cumulative","LBX172.Skip.to.Item"
"0.0004 to 0.1737","Range of Values",1878,1878,NA
".","Missing",407,2285,NA
