"RFXC102.Code.or.Value","RFXC102.Value.Description","RFXC102.Count","RFXC102.Cumulative","RFXC102.Skip.to.Item"
"-7.379 to 4.982","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
