"TYXP099.Code.or.Value","TYXP099.Value.Description","TYXP099.Count","TYXP099.Cumulative","TYXP099.Skip.to.Item"
"-294 to 82","Range of Values",8463,8463,NA
".","Missing",6,8469,NA
