"SMD075.Code.or.Value","SMD075.Value.Description","SMD075.Count","SMD075.Cumulative","SMD075.Skip.to.Item"
"1 to 72","Range of Values",927,927,NA
"777","Refused",0,927,NA
"999","Don't know",7,934,NA
".","Missing",4107,5041,NA
