"LBD172LC.Code.or.Value","LBD172LC.Value.Description","LBD172LC.Count","LBD172LC.Cumulative","LBD172LC.Skip.to.Item"
"0","At or above the detection limit",176,176,NA
"1","Below lower detection limit",88,264,NA
".","Missing",0,264,NA
