"DS2TPHOS.Code.or.Value","DS2TPHOS.Value.Description","DS2TPHOS.Count","DS2TPHOS.Cumulative","DS2TPHOS.Skip.to.Item"
"0.9 to 753","Range of Values",983,983,NA
".","Missing",8779,9762,NA
