"DR1_020.Code.or.Value","DR1_020.Value.Description","DR1_020.Count","DR1_020.Cumulative","DR1_020.Skip.to.Item"
"00:00 to 23:59","Range of Values",131164,131164,NA
".","Missing",0,131164,NA
