"BHQ100.Code.or.Value","BHQ100.Value.Description","BHQ100.Count","BHQ100.Cumulative","BHQ100.Skip.to.Item"
"1","Yes",592,592,NA
"2","No",4679,5271,NA
"7","Refused",0,5271,NA
"9","Don't know",6,5277,NA
".","Missing",782,6059,NA
