"LBDRPLLC.Code.or.Value","LBDRPLLC.Value.Description","LBDRPLLC.Count","LBDRPLLC.Cumulative","LBDRPLLC.Skip.to.Item"
"0","At or above the detection limit",2526,2526,NA
"1","Below lower detection limit",3755,6281,NA
".","Missing",1154,7435,NA
