"LB2CRP.Code.or.Value","LB2CRP.Value.Description","LB2CRP.Count","LB2CRP.Cumulative","LB2CRP.Skip.to.Item"
"0.01 to 6.24","Range of Values",545,545,NA
".","Missing",12,557,NA
