"DBQ120.Code.or.Value","DBQ120.Value.Description","DBQ120.Count","DBQ120.Cumulative","DBQ120.Skip.to.Item"
"0","Never",2750,2750,NA
"1","Rarely or seldom",1106,3856,NA
"2","Sometimes or occasionally,",1177,5033,NA
"3","Often or very often,or",508,5541,NA
"4","Always?",1619,7160,NA
"7","Refused",0,7160,NA
"9","Don't know",0,7160,NA
".","Missing",2805,9965,NA
