"DXDLLLE.Code.or.Value","DXDLLLE.Value.Description","DXDLLLE.Count","DXDLLLE.Cumulative","DXDLLLE.Skip.to.Item"
"2005.4 to 22044","Range of Values",4651,4651,NA
".","Missing",1041,5692,NA
