"WTSOG2YR.Code.or.Value","WTSOG2YR.Value.Description","WTSOG2YR.Count","WTSOG2YR.Cumulative","WTSOG2YR.Skip.to.Item"
"0 to 389074.997","Range of Values",2723,2723,NA
".","Missing",629,3352,NA
