"WTSCI51.Code.or.Value","WTSCI51.Value.Description","WTSCI51.Count","WTSCI51.Cumulative","WTSCI51.Skip.to.Item"
"0 to 475246.94754","Range of Values",727,727,NA
".","Missing",51,778,NA
