"PFD069I.Code.or.Value","PFD069I.Value.Description","PFD069I.Count","PFD069I.Cumulative","PFD069I.Skip.to.Item"
"61 to 29220","Range of Values",192,192,NA
"66666","Since birth",6,198,NA
"77777","Refused",0,198,NA
"99999","Don't know",4,202,NA
".","Missing",9620,9822,NA
