"HUQ010.Code.or.Value","HUQ010.Value.Description","HUQ010.Count","HUQ010.Cumulative","HUQ010.Skip.to.Item"
"1","Excellent,",3002,3002,NA
"2","Very good,",2464,5466,NA
"3","Good,",2867,8333,NA
"4","Fair, or",1306,9639,NA
"5","Poor?",316,9955,NA
"7","Refused",0,9955,NA
"9","Don't know",5,9960,NA
".","Missing",5,9965,NA
