"URXUMS.Code.or.Value","URXUMS.Value.Description","URXUMS.Count","URXUMS.Cumulative","URXUMS.Skip.to.Item"
"0.21 to 24440","Range of Values",7878,7878,NA
".","Missing",254,8132,NA
