"WTSPO26.Code.or.Value","WTSPO26.Value.Description","WTSPO26.Count","WTSPO26.Cumulative","WTSPO26.Skip.to.Item"
"0.0000000 to 834516.4390600","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
