"DS1IVB1.Code.or.Value","DS1IVB1.Value.Description","DS1IVB1.Count","DS1IVB1.Cumulative","DS1IVB1.Skip.to.Item"
"0.01 to 250","Range of Values",1132,1132,NA
".","Missing",4936,6068,NA
