"BPQ090B.Code.or.Value","BPQ090B.Value.Description","BPQ090B.Count","BPQ090B.Cumulative","BPQ090B.Skip.to.Item"
"1","Yes",753,753,NA
"2","No",628,1381,NA
"7","Refused",0,1381,NA
"9","Don't know",5,1386,NA
".","Missing",4753,6139,NA
