"DXXRABMC.Code.or.Value","DXXRABMC.Value.Description","DXXRABMC.Count","DXXRABMC.Cumulative","DXXRABMC.Skip.to.Item"
"34.16 to 455.69","Range of Values",4031,4031,NA
".","Missing",1083,5114,NA
