"DR1ILYCO.Code.or.Value","DR1ILYCO.Value.Description","DR1ILYCO.Count","DR1ILYCO.Cumulative","DR1ILYCO.Skip.to.Item"
"0 to 163323","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
