"URXMX2.Code.or.Value","URXMX2.Value.Description","URXMX2.Count","URXMX2.Cumulative","URXMX2.Skip.to.Item"
"0.028 to 1260","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
