"DR2ICALC.Code.or.Value","DR2ICALC.Value.Description","DR2ICALC.Count","DR2ICALC.Cumulative","DR2ICALC.Skip.to.Item"
"0 to 3553","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
