"LBDF03LC.Code.or.Value","LBDF03LC.Value.Description","LBDF03LC.Count","LBDF03LC.Cumulative","LBDF03LC.Skip.to.Item"
"0","detectable result",805,805,NA
"1","below detectable limit",425,1230,NA
".","Missing",1317,2547,NA
