"SPXNF257.Code.or.Value","SPXNF257.Value.Description","SPXNF257.Count","SPXNF257.Cumulative","SPXNF257.Skip.to.Item"
"124 to 9280","Range of Values",6652,6652,NA
".","Missing",843,7495,NA
