"BIXC220K.Code.or.Value","BIXC220K.Value.Description","BIXC220K.Count","BIXC220K.Cumulative","BIXC220K.Skip.to.Item"
"9.8 to 183.14","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
