"VTQ270B.Code.or.Value","VTQ270B.Value.Description","VTQ270B.Count","VTQ270B.Cumulative","VTQ270B.Skip.to.Item"
"1 to 999","Range of Values",2846,2846,NA
".","Missing",699,3545,NA
