"URDDPMLC.Code.or.Value","URDDPMLC.Value.Description","URDDPMLC.Count","URDDPMLC.Cumulative","URDDPMLC.Skip.to.Item"
"0","At or above the detection limit",9,9,NA
"1","Below lower detection limit",2331,2340,NA
".","Missing",265,2605,NA
