"MCQ240J.Code.or.Value","MCQ240J.Value.Description","MCQ240J.Count","MCQ240J.Cumulative","MCQ240J.Skip.to.Item"
"55 to 76","Range of Values",5,5,NA
"85","85 years or older",0,5,NA
"77777","Refused",0,5,NA
"99999","Don't know",0,5,NA
".","Missing",9817,9822,NA
