"AUXR1K1L.Code.or.Value","AUXR1K1L.Value.Description","AUXR1K1L.Count","AUXR1K1L.Cumulative","AUXR1K1L.Skip.to.Item"
"30 to 60","Range of Values",3,3,NA
"666","No response",0,3,NA
"888","Could not obtain",0,3,NA
".","Missing",1207,1210,NA
