"AUXR5CL.Code.or.Value","AUXR5CL.Value.Description","AUXR5CL.Count","AUXR5CL.Cumulative","AUXR5CL.Skip.to.Item"
"15 to 110","Range of Values",34,34,NA
"666","No response",0,34,NA
"888","Could not obtain",0,34,NA
".","Missing",4548,4582,NA
