"SSPFBAL.Code.or.Value","SSPFBAL.Value.Description","SSPFBAL.Count","SSPFBAL.Cumulative","SSPFBAL.Skip.to.Item"
"0","At or above the detection limit",269,269,NA
"1","Below lower detection limit",2059,2328,NA
".","Missing",0,2328,NA
