"CVDWSY.Code.or.Value","CVDWSY.Value.Description","CVDWSY.Count","CVDWSY.Cumulative","CVDWSY.Skip.to.Item"
"63 to 220","Range of Values",2978,2978,NA
".","Missing",2174,5152,NA
