"DS2TVB2.Code.or.Value","DS2TVB2.Value.Description","DS2TVB2.Count","DS2TVB2.Cumulative","DS2TVB2.Skip.to.Item"
"0 to 200","Range of Values",1661,1661,NA
".","Missing",8592,10253,NA
