"LBXP2.Code.or.Value","LBXP2.Value.Description","LBXP2.Count","LBXP2.Cumulative","LBXP2.Skip.to.Item"
"0.04 to 20.08","Range of Values",1746,1746,NA
".","Missing",230,1976,NA
