"DR1TMAGN.Code.or.Value","DR1TMAGN.Value.Description","DR1TMAGN.Count","DR1TMAGN.Cumulative","DR1TMAGN.Skip.to.Item"
"0 to 2725","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
