"RFXT155.Code.or.Value","RFXT155.Value.Description","RFXT155.Count","RFXT155.Cumulative","RFXT155.Skip.to.Item"
"1353 to 1362","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
