"VIQ191.Code.or.Value","VIQ191.Value.Description","VIQ191.Count","VIQ191.Cumulative","VIQ191.Skip.to.Item"
"1","Right",5,5,NA
"2","Left",5,10,NA
"3","Both",68,78,NA
".","Missing",7367,7445,NA
