"URDUMNLC.Code.or.Value","URDUMNLC.Value.Description","URDUMNLC.Count","URDUMNLC.Cumulative","URDUMNLC.Skip.to.Item"
"0","At or above the detection limit",1537,1537,NA
"1","Below lower detection limit",735,2272,NA
".","Missing",77,2349,NA
