"LBDTT3SI.Code.or.Value","LBDTT3SI.Value.Description","LBDTT3SI.Count","LBDTT3SI.Cumulative","LBDTT3SI.Skip.to.Item"
"0.7 to 4.6","Range of Values",2364,2364,NA
".","Missing",180,2544,NA
