"PFD069L.Code.or.Value","PFD069L.Value.Description","PFD069L.Count","PFD069L.Cumulative","PFD069L.Skip.to.Item"
"1825 to 20805","Range of Values",9,9,NA
"66666","Since birth",8,17,NA
"77777","Refused",0,17,NA
"99999","Don't know",1,18,NA
".","Missing",10452,10470,NA
