"DSDMTCH.Code.or.Value","DSDMTCH.Value.Description","DSDMTCH.Count","DSDMTCH.Cumulative","DSDMTCH.Skip.to.Item"
"1","Exact or near exact match",4341,4341,NA
"2","Probable match",715,5056,NA
"3","Generic match",2187,7243,NA
"4","Reasonable match",1206,8449,NA
"5","Default match",944,9393,NA
"6","No match",119,9512,NA
"7","Refused",16,9528,NA
"9","Don't know",31,9559,NA
".","Missing",0,9559,NA
