"ALQ140U.Code.or.Value","ALQ140U.Value.Description","ALQ140U.Count","ALQ140U.Cumulative","ALQ140U.Skip.to.Item"
"1","Week",260,260,NA
"2","Month",168,428,NA
"3","Year",608,1036,NA
"7","Refused",0,1036,NA
"9","Don't know",0,1036,NA
".","Missing",3737,4773,NA
