"URDUHGLC.Code.or.Value","URDUHGLC.Value.Description","URDUHGLC.Count","URDUHGLC.Cumulative","URDUHGLC.Skip.to.Item"
"0","At or above the detection limit",1771,1771,NA
"1","Below lower detection limit",895,2666,NA
".","Missing",89,2755,NA
