"LBCBR9LA.Code.or.Value","LBCBR9LA.Value.Description","LBCBR9LA.Count","LBCBR9LA.Cumulative","LBCBR9LA.Skip.to.Item"
"0.08485 to 13.94","Range of Values",284,284,NA
".","Missing",0,284,NA
