"WTSOG2YR.Code.or.Value","WTSOG2YR.Value.Description","WTSOG2YR.Count","WTSOG2YR.Cumulative","WTSOG2YR.Skip.to.Item"
"15353.54074 to 415382.80096","Range of Values",2600,2600,NA
"0","No Lab Result",309,2909,NA
".","Missing",0,2909,NA
