"SPXNF257.Code.or.Value","SPXNF257.Value.Description","SPXNF257.Count","SPXNF257.Cumulative","SPXNF257.Skip.to.Item"
"0 to 8191","Range of Values",7079,7079,NA
".","Missing",1116,8195,NA
