"LBXAPB.Code.or.Value","LBXAPB.Value.Description","LBXAPB.Count","LBXAPB.Cumulative","LBXAPB.Skip.to.Item"
"24 to 345","Range of Values",3106,3106,NA
".","Missing",246,3352,NA
