"URXMX1.Code.or.Value","URXMX1.Value.Description","URXMX1.Count","URXMX1.Cumulative","URXMX1.Skip.to.Item"
"0.04 to 1400","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
