"MCQ180E.Code.or.Value","MCQ180E.Value.Description","MCQ180E.Count","MCQ180E.Cumulative","MCQ180E.Skip.to.Item"
"4 to 79","Range of Values",263,263,NA
"80","80 years or older",11,274,NA
"77777","Refused",0,274,NA
"99999","Don't know",8,282,NA
".","Missing",9384,9666,NA
