"WBXF087.Code.or.Value","WBXF087.Value.Description","WBXF087.Count","WBXF087.Cumulative","WBXF087.Skip.to.Item"
"4489.8482 to 4489.8482","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
