"AUXR8KR.Code.or.Value","AUXR8KR.Value.Description","AUXR8KR.Count","AUXR8KR.Cumulative","AUXR8KR.Skip.to.Item"
"50 to 95","Range of Values",10,10,NA
"666","No response",1,11,NA
"888","Could not obtain",0,11,NA
".","Missing",2035,2046,NA
