"WBXP037.Code.or.Value","WBXP037.Value.Description","WBXP037.Count","WBXP037.Cumulative","WBXP037.Skip.to.Item"
"-155.6917 to 170.0989","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
