"DR1IFF.Code.or.Value","DR1IFF.Value.Description","DR1IFF.Count","DR1IFF.Cumulative","DR1IFF.Skip.to.Item"
"0 to 1503","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
