"DS1TSELE.Code.or.Value","DS1TSELE.Value.Description","DS1TSELE.Count","DS1TSELE.Cumulative","DS1TSELE.Skip.to.Item"
"1 to 495","Range of Values",1128,1128,NA
".","Missing",8634,9762,NA
